brand,name,link,image_url,price_discounted
더하르나이,[1등크림/올영단독] 더하르나이 시카이드 크림 100ml+30ml 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000192405&dispCatNo=1000001000100150001&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=1,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0019/A00000019240520ko.jpg?l=ko,"29,000"
바이오힐 보,[NEW] 바이오힐 보 판테셀 리페어 시카좀 크림 80mL 기획 (+앰플 13ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224487&dispCatNo=1000001000100150001&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=2,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022448707ko.jpg?l=ko,"32,000"
에스네이처,[1+1/모공 수분천재크림] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 더블 기획(60ml+60ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000192782&dispCatNo=1000001000100150001&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=3,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0019/A00000019278248ko.jpg?l=ko,"43,000"
닥터지,[이영지Pick/1등크림/수분진정]닥터지 레드 블레미쉬 클리어 수딩 크림 70ml 기획 3종,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000164615&dispCatNo=1000001000100150001&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=4,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0016/A00000016461545ko.jpg?l=ko,"38,000"
라로슈포제,라로슈포제 시카플라스트 밤 B5+ 100ml 기획 (+히알루 B5 세럼 1.5ml*2개 증정),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000226997&dispCatNo=1000001000100150001&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=5,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022699701ko.jpg?l=ko,"40,000"
제로이드,[5/29하루특가/5월 올영픽] 제로이드 수딩 크림 80ml 기획 (+수딩 로션 25ml+ 데일리 선크림 10ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224336&dispCatNo=1000001000100150001&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=6,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022433608ko.jpg?l=ko,"30,000"
라로슈포제,라로슈포제 시카플라스트 멀티 리페어 크림 B5 100ml 기획 (+멜라B3 세럼 3ml증정),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224292&dispCatNo=1000001000100150001&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=7,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022429203ko.jpg?l=ko,"50,000"
닥터자르트,[한정수량1+1] 닥터자르트 시카페어 인텐시브 수딩 리페어 크림 50ml 1+1 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000218592&dispCatNo=1000001000100150001&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=8,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0021/A00000021859205ko.jpg?l=ko,"50,000"
메디큐브,[1+1/흔적크림] 메디큐브 PDRN 핑크 히알루로닉 수분크림 50ml 더블기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225008&dispCatNo=1000001000100150001&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=9,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022500807ko.jpg?l=ko,"49,000"
바이오더마,바이오더마 시카비오 포마드 100ml(리페어 리치 밤),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000134691&dispCatNo=1000001000100150001&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=10,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0013/A00000013469120ko.jpg?l=ko,"38,000"
