page,product_name,star,title,review,skin_type
1,[2024 어워즈] 아누아 어성초 수딩 토너 350ml +350ml 어워즈 한정기획(+스누피솜20매+복숭아마스크1매),4.0,"['건성에 좋아요', '보습에 좋아요', '자극없이 순해요']",양도 엄청 많고 리필까지하면 700ml라 오래쓸수있을것같아용 딱히 엄청 좋아진다거나 안좋아진다거나 하는거 없이 무난하게 쓸 수 있어용 토ㄹ든 세럼이랑 사용했을때 좁쌀이 많이 없어졌습니당 다이소 안개분사 스프레이 뚜껑이랑 연결하면 편하게 쓸 수 있다는거 보고 구매했는데 진짜 편하고 보습도 잘돼요 다이소 안개분사120ml 용기 사셔서 뚜껑만 갈아끼우시면 돼요!! 재구매는 아직 더 써봐야 알 것 같습니당,"['복합성', '여름쿨톤', '각질', '민감성']"
1,[2024 어워즈] 아누아 어성초 수딩 토너 350ml +350ml 어워즈 한정기획(+스누피솜20매+복숭아마스크1매),5.0,"['복합성에 좋아요', '진정에 좋아요', '자극없이 순해요']",아누아 어성초77스킨 정말 씻고나와서 일단 건조할틈없이 이걸 듬뿍3번정도 뿌려줍니다!!그리고 꿀템을 발견했는데 다이소 안개분사 스프레이랑 딱맞아요!!글서 더 편하고 부드럽게 매일3스킨 촵촵해주고있습니다!다들 이렇게 한번만 사용해보셨으면 좋겟어요!!미스크용으로 사용할수있어서 수시로 뿌려주고잇습니당!,"['복합성', '여름쿨톤', '각질', '다크서클']"
1,[2024 어워즈] 아누아 어성초 수딩 토너 350ml +350ml 어워즈 한정기획(+스누피솜20매+복숭아마스크1매),5.0,"['건성에 좋아요', '보습에 좋아요', '자극없이 순해요']","흡토로 사용하는 제품이에요. 처음엔 다른 제품의 닦토에서 이 제품으로 바꾸었을땐 뭔가 이질감이 들었는데, 지금은 확실히 속건조하지 않게 흡수되어서 충분히 촉촉하고 자극없이 순해서 좋아요. 향은 거슬리지 않아서 사용할 때 거부감이 없어 누구나 사용할 수 있을 것 같아요!","['건성', '여름쿨톤', '민감성', '홍조']"
1,[2024 어워즈] 아누아 어성초 수딩 토너 350ml +350ml 어워즈 한정기획(+스누피솜20매+복숭아마스크1매),5.0,"['지성에 좋아요', '보습에 좋아요', '자극없이 순해요']",순하고 좋아용유명한덴 이유가 있는듯하니다그냥 딱히 기능없는 무난한 제품이에요와 효과 미쳤다 이런느낌보단어 진정도 되고 보습도 되고 괜찮네?이런느낌..? 굳이 갈아탈 이유는 딱히 없는진짜 무난해요 아침저녁으로 다른 스킨케어 바르기 귀찮으신분들토너는 이걸로 정착해도 될듯합니당,"['지성', '여름쿨톤', '피지과다']"
1,[2024 어워즈] 아누아 어성초 수딩 토너 350ml +350ml 어워즈 한정기획(+스누피솜20매+복숭아마스크1매),4.0,"['지성에 좋아요', '보습에 좋아요', '자극없이 순해요']","지성인데도 속건조를 잡아주는 느낌을 못 느껴서 건성, 수부지 비추해요","['지성', '여름쿨톤', '모공', '블랙헤드']"
1,[2024 어워즈] 아누아 어성초 수딩 토너 350ml +350ml 어워즈 한정기획(+스누피솜20매+복숭아마스크1매),5.0,"['복합성에 좋아요', '진정에 좋아요', '보통이에요']",어성초가 진정에 효괴 좋다고해서 꾸준하게 사용중인데 효과 좋은거같아요,[]
1,[2024 어워즈] 아누아 어성초 수딩 토너 350ml +350ml 어워즈 한정기획(+스누피솜20매+복숭아마스크1매),5.0,"['복합성에 좋아요', '진정에 좋아요', '보통이에요']",굿굿 지성피부에 딱입니당 속건조 잡는데도 좋고 트러블 안나고 무 난하게 사용할 수 있어요 머리 말릴 때 스킨팩 해주고 기초 바른다 음에 화장하면 짱 잘먹어용 용량도 많아서 팍팍 써도 부담없어서 좋 아요,['복합성']
1,[2024 어워즈] 아누아 어성초 수딩 토너 350ml +350ml 어워즈 한정기획(+스누피솜20매+복숭아마스크1매),5.0,"['복합성에 좋아요', '진정에 좋아요', '자극없이 순해요']",아누아 스킨이.제일 오래동안 많이쓰고있어요~ 이제스킨은 아누아~ㅋㅋ,"['복합성', '쿨톤', '잡티', '트러블']"
1,[2024 어워즈] 아누아 어성초 수딩 토너 350ml +350ml 어워즈 한정기획(+스누피솜20매+복숭아마스크1매),5.0,"['복합성에 좋아요', '보습에 좋아요', '자극없이 순해요']",토너 대용량이라 여러 번 발라도 좋고 손에 덜어서 피부에 챱챱 흡수 시켜주면 피부 건조한 게 잡혀서 좋아요,"['복합성', '웜톤', '모공', '트러블']"
1,[2024 어워즈] 아누아 어성초 수딩 토너 350ml +350ml 어워즈 한정기획(+스누피솜20매+복숭아마스크1매),5.0,"['복합성에 좋아요', '진정에 좋아요', '자극없이 순해요']",아이가 어성초 저번부터 사달라구 조르더니. .어성초 폼클렌징 사용중인데 좋대서 스킨토너도 사보았어요.기대됩니다!ㅎ이번 스누피 꼭 사고싶다고.ㅋㅋ이뿌네욤.~ㅎ감사히 잘 사용할게욤!,[]
