brand,name,link,image_url,price_discounted
메디큐브,[1+1/흔적미백] 메디큐브 연어 PDRN 핑크 앰플 더블기획 (30ml+30ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000214290&dispCatNo=1000001000100140001&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=1,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0021/A00000021429012ko.jpg?l=ko,"46,000"
웰라쥬,[대용량150ml] 웰라쥬 리얼 히알루로닉 블루 100 앰플 75ml 1+1 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000162035&dispCatNo=1000001000100140001&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=2,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0016/A00000016203552ko.jpg?l=ko,"46,000"
메디큐브,[1+1/모공쫀쫀] 메디큐브 제로 모공 원데이 세럼 더블기획 (30ml+30ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000209098&dispCatNo=1000001000100140001&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=3,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/A00000020909809ko.jpg?l=ko,"46,000"
아누아,[화해 1위] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획 (+30mL 리필팩),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000222698&dispCatNo=1000001000100140001&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=4,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022269810ko.png?l=ko,"58,500"
아이오페,[5월올영픽] 아이오페 레티놀 슈퍼 바운스 세럼 30ml 기획 (+20ml+선앰플 20ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224685&dispCatNo=1000001000100140001&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=5,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022468537ko.jpg?l=ko,"50,000"
구달,[스티치 영화표 이벤트 | 구매인증] 구달 청귤 비타C 잡티케어 세럼 50ml 리필 기획(+50ml)(티니핑 에디션),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219020&dispCatNo=1000001000100140001&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=6,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0021/A00000021902009ko.jpg?l=ko,"43,000"
바이오힐 보,[파우치선착순증정]바이오힐 보 프로바이오덤 콜라겐 리모델링 세럼 30ml+디바이스 모공슈링크 기획(+콜라겐크림20ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224882&dispCatNo=1000001000100140001&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=7,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022488214ko.jpg?l=ko,"137,700"
마미케어,[모공절반감소] 마미케어 바다포도 모공앰플 50ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224295&dispCatNo=1000001000100140001&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=8,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022429509ko.jpg?l=ko,"22,000"
토리든,[단독기획] 토리든 다이브인 저분자 히알루론산 세럼 50ml 기획(+멀티패드 10매),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000190326&dispCatNo=1000001000100140001&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=9,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0019/A00000019032618ko.jpg?l=ko,"22,000"
셀라딕스,[트러블/모공개선] 셀라딕스 트러블 세범 리밸런싱 RX 131 앰플 30ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224494&dispCatNo=1000001000100140001&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=10,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022449404ko.jpg?l=ko,"28,900"
