page,product_name,star,title,review,skin_type
1,[1+1/흔적미백] 메디큐브 연어 PDRN 핑크 앰플 더블기획 (30ml+30ml),3.0,"['복합성에 좋아요', '주름/미백에 좋아요', '보통이에요']",나이41 악건성 짙은 기미 트러블자국 가끔 환장하게 뒤짐어짐 더불어 민감함은 플러스 이 언니 탑리뷰어라 거짓말 못해그리고 다 내돈내산이라 스킨케어에 진심인 여자야일단 간략하게 말할게한달 리뷰야첫 번째 사용해도 계속 사용해도 좋아지는 거 모르겠어두 번째 아 악건성인 내가 사용하기엔 수분감이 너무 부족해서 또 다른 제품으로 수분 레이어링을 계속 해줘야 돼세번째  메디큐브 홈 기기 제품이 없다면 다른걸 추천해이게 팩트 인거 같아이언닌 재구매는 안할라고이돈으로 타사 제품이 더 효과적으로 느껴서 그 제품으로 다시돌아 가려고그럼  글 읽고 도움이 됐다면 버튼 한번 눌러줘,"['약건성', '쿨톤', '각질', '모공']"
1,[1+1/흔적미백] 메디큐브 연어 PDRN 핑크 앰플 더블기획 (30ml+30ml),5.0,"['지성에 좋아요', '진정에 좋아요', '자극없이 순해요']",순하고 촉촉해서 앰플 바르고 화장하면화장을 잘 받는거 같아요,"['복합성', '쿨톤', '모공', '피지과다']"
1,[1+1/흔적미백] 메디큐브 연어 PDRN 핑크 앰플 더블기획 (30ml+30ml),5.0,"['복합성에 좋아요', '주름/미백에 좋아요', '자극없이 순해요']","착색된게 시간지나면 없어지겠지 했지만 몇달이 지나도 여전해서 너무 스트레스 받았어요.그래서 흔적관련 제품 찾아봤고 퍼셀 글루타치온+메디큐브 pdrn 세럼,크림으로 관리했습니다.대략 10일만에 이렇게 옅어졌어요;너무너무 만족해요","['복합성', '가을웜톤', '각질', '모공']"
1,[1+1/흔적미백] 메디큐브 연어 PDRN 핑크 앰플 더블기획 (30ml+30ml),5.0,"['건성에 좋아요', '주름/미백에 좋아요', '자극없이 순해요']","< 현 올리브영 메이트, GOLD등급의 리뷰 >수부지, 지성피부리뷰보면 메디큐브 부스터프로랑 많이 쓰시는 앰플이길래 같이 사용하려고 구매했어요 요즘 세상 핫한 연어 PDRN 앰플 !.!- 수분/보습제형자체가 묵직하고 수분감이 느껴졌어요 PDRN 자체가 수분, 콜라겐 효능이 있는건데 개인적으로 지성인 제가 쓰기엔 조금 겉돌고 무거운 느낌이라서 건성이 쓰면 진짜 만족하실 앰플이였어요 그치만 수분, 보습감은 뛰어났어요- 미백/주름 개선부모님이랑 같이 쓰려고 부스터 프로 선물해드리면서 구매해서 사용중인데 꾸준히 사용하니 얼굴에 광이 돌면서 피부가 하애지더라고요 확실히 미백 효과는 뛰어났어요 얼굴이 환해지고 피부톤이 화사해지는게 며칠만 사용해도 효과가 보이니까 부스터 프로 없이 단독 사용했을때랑 차이가 있을지 궁금했어요- 제형제형은 묵직하고 꾸덕한데 끈적거리진 않았어요 앰플색이 핑크색인게 신기했고 향은 좀 별로였어요 이게 무슨향인지 대체 ㅜ.ㅜ- 꿀조합메디큐브 같은 라인으로 나오는 크림이 그렇게 좋다는데 같이 써보진않았지만 메디큐브 부스터 프로나 미니 있으신 분들 무조건 같이 쓰는게 제일 꿀조합입니다 1번 빨간색 부스터모드+연어앰플 5분만 사용해보세요 진짜 꿀조합.- 가격가격대는 비쌌지만 더블기획+세일때 사니까 그나마 괜찮았어요 하지만 요즘 화장픔이 전체적으로 비싸기도 했고 효과도 뛰어나서 재구매 의사 100% 있습니다- 총평지성, 건성 피부타입 상관없이 쓰기 괜찮고 부스터프로, 미니 있으신분들 한번만 써보세요.- PDRN 유명템 다 써본 사람의 피부타입별 추천지성, 수부지 추천 -> 아ㄴㅇPDRN (레이어드 여러번 하면 건성도 가능하긴함)건성 추천 -> 메디큐브 PDRN (지성이 못쓸정도는 아님)˚ෆ*₊ 제 리뷰가 도움 됬다면 좋아요 한번씩만 부탁드립니다 ˚ෆ*₊","['지성', '겨울쿨톤', '트러블']"
1,[1+1/흔적미백] 메디큐브 연어 PDRN 핑크 앰플 더블기획 (30ml+30ml),5.0,"['복합성에 좋아요', '진정에 좋아요', '보통이에요']",올영 세일때 써보고 또 구매~ 1+1 행사는 최고에요!! 용기 분리배출 아쉬움이 커요. 스티커도 끈적이고 제퓸 좋은데 분리배출 ㅎ불편한건 안쓰게 되는데… 잘 쓰고 잘 버려 재활용 가능하면 더 좋겠어요 용기에 대한 정보도 없는거 같아요 불투명유리같긴한데,"['복합성', '쿨톤', '잡티', '홍조']"
1,[1+1/흔적미백] 메디큐브 연어 PDRN 핑크 앰플 더블기획 (30ml+30ml),4.0,"['건성에 좋아요', '주름/미백에 좋아요', '자극없이 순해요']",미백 효과는 그냥 바르면 나아지겠지 하면 쓰는데솔직히 없는 것 같구요..잡티케어도 그닥..?그냥 앰플 자체가 너무 무겁지 않으면서 피부는 쫀쫀하게 마무리되어서 피부결에는 만족스러웠어요메디큐브 기기랑 같이 쓸 때 당연히 더 좋아요냄새가 좀 마음에 안 들긴 합니다,"['건성', '여름쿨톤', '민감성', '트러블']"
1,[1+1/흔적미백] 메디큐브 연어 PDRN 핑크 앰플 더블기획 (30ml+30ml),5.0,"['건성에 좋아요', '보습에 좋아요', '자극없이 순해요']",재구매했어요아침저녁상관없이계속바르기좋아서편해요,"['건성', '웜톤', '각질', '다크서클']"
1,[1+1/흔적미백] 메디큐브 연어 PDRN 핑크 앰플 더블기획 (30ml+30ml),5.0,"['건성에 좋아요', '보습에 좋아요', '자극없이 순해요']",피부가뒤집어져서 고민하다 사용중인데 계속 재구매중입니당,"['건성', '웜톤', '각질', '다크서클']"
1,[1+1/흔적미백] 메디큐브 연어 PDRN 핑크 앰플 더블기획 (30ml+30ml),4.0,"['건성에 좋아요', '보습에 좋아요', '보통이에요']",부스터미니와 함께 사용하고 있어요. 두 번 듬뿍 피부에 올려서 기기 슥슥 밀어주면 피부가 쫀득/광광하게 마무리됩니다. 다음날 피부결도 부드러워지고 꾸준히 사용하니 트러블 자국 등이 많이 좋아집니다. 기기와 함께 사용하다보다 사용량이 많아서 그런가 금방금방 사용하게 되네요~ 다 좋은데 약간 원료의 향이랄까 좀 그런향이 나서 처음에는 적응하기 어려웠네요. 사용감 등등 다 괜찮지만 향 때문에 좀 호불호가 있을수도 있을것 같네요~,"['건성', '가을웜톤', '잡티', '주름']"
1,[1+1/흔적미백] 메디큐브 연어 PDRN 핑크 앰플 더블기획 (30ml+30ml),4.0,"['복합성에 좋아요', '진정에 좋아요', '보통이에요']",메디큐브 pdrn에 가격도 pdrn치고 저렴해서 사봤어요냄새는 살짝 신기한 비린냄새? 나는데 전 견딜만 합니다근데 이거 바른다고 물광난다 이런 건 없어요,"['복합성', '여름쿨톤', '각질', '모공']"
