page,product_name,star,title,review,skin_type
1,[1등크림/올영단독] 더하르나이 시카이드 크림 100ml+30ml 기획,5.0,"['지성에 좋아요', '진정에 좋아요', '자극없이 순해요']",건조한 계절에 사용했을땐 보습부분이 부족해서 만족스럽지 않았는데요. 요즘 다시 써보시 진정에 도움이 되어서 재구매 했습니다. 여름까지 잘 쓸거같아요. 자극받은 피부에 수시로 덧발라줬더니 홍조도 슬슬 사라지고 괜찮습니다.그렇지만 아직도 보습은 아쉬워요. 참고로 제 피부는 수부지 입니다.,"['지성', '웜톤', '모공', '민감성']"
1,[1등크림/올영단독] 더하르나이 시카이드 크림 100ml+30ml 기획,5.0,"['복합성에 좋아요', '보습에 좋아요', '자극없이 순해요']","수부지 피부라 크림을 사용하면 기름금방올라오고 모공을 막아서 트러블이 올라올거같은 느낌이들어서 크림은 잘 사용안했었는데 ,더하르나이는 진짜 달라요. 약간 크림전단계에 바른 제품들이 날라가지않게 보호막?을 씌워준다는 느낌이들지만 너무 기름지지않고 트러블도 올라오지않아서 수부지 피부이신분들에게 진짜 강추입니다ㅜㅜ 제발 한번 사용해보세요","['복합성', '여름쿨톤', '블랙헤드', '트러블']"
1,[1등크림/올영단독] 더하르나이 시카이드 크림 100ml+30ml 기획,5.0,"['지성에 좋아요', '진정에 좋아요', '자극없이 순해요']",유명한 하르나이 시카크림 드디어 구매해봤는데촉촉하고 자극 없이 빠른 흡수가 좋았어요,"['트러블성', '쿨톤', '다크서클', '모공']"
1,[1등크림/올영단독] 더하르나이 시카이드 크림 100ml+30ml 기획,5.0,"['복합성에 좋아요', '보습에 좋아요', '자극없이 순해요']",벌써 3번째 구매중…여드름성피부인데도 엄청 순하고진정이 잘됨.피부 예민해서 뭐 쓸지 모르겠다 하면 이거 ㄱㄱ트러블 올라올 일이 없음 절 믿고 구매하시길,[]
1,[1등크림/올영단독] 더하르나이 시카이드 크림 100ml+30ml 기획,5.0,"['복합성에 좋아요', '보습에 좋아요', '자극없이 순해요']",이건 진짜 말하기도 귀찮은 제품 엄청 순하고보습력 좋고 여드름성피부에도 좋음 진정도 잘되고5번째 구매중 모두 이거 사시길 ㅠㅠ👍👍,[]
1,[1등크림/올영단독] 더하르나이 시카이드 크림 100ml+30ml 기획,5.0,"['지성에 좋아요', '보습에 좋아요', '자극없이 순해요']",지성피부 용 재생크림이 맞는 것 같아요. 과한 유분감이 없어서 마음에 들어요.,"['복합성', '가을웜톤', '모공', '민감성']"
1,[1등크림/올영단독] 더하르나이 시카이드 크림 100ml+30ml 기획,5.0,"['복합성에 좋아요', '보습에 좋아요', '자극없이 순해요']","항상 애용하는 제품이에요. 수부지 피부타입인데 화장 전에 이만한 제품이 없눈 것 같아요! 수분기 가득 머금고 있구, 바른 후에도 계속 촉촉합니닷.다만 건성인 제 지인분은 얘로 단독으로 마무리하기에는 좀 건조한 감이 있다 하더라구요 ㅎㅎ 참고하시면 되겠습니다.","['트러블성', '여름쿨톤', '모공', '민감성']"
1,[1등크림/올영단독] 더하르나이 시카이드 크림 100ml+30ml 기획,5.0,"['복합성에 좋아요', '진정에 좋아요', '보통이에요']",재구매 몇번째인지모를제품 ..일단 순해서 데일리로 바르기 좋구 크림바르고 화장해두 밀림없어여 !!단골 구매고객으로써 이벤트을 다양하게 했으면 좋겟어여 🎀,['복합성']
1,[1등크림/올영단독] 더하르나이 시카이드 크림 100ml+30ml 기획,5.0,"['건성에 좋아요', '보습에 좋아요', '자극없이 순해요']",좋다고해서 사봤어여 ㅎㅎ 아침 메이크업때 건조할때 쓰는데 무겁지않은 제형이라 좋아요 덜답답한 크림,"['건성', '웜톤', '미백']"
1,[1등크림/올영단독] 더하르나이 시카이드 크림 100ml+30ml 기획,5.0,"['복합성에 좋아요', '진정에 좋아요', '자극없이 순해요']",극극극 트러블성 친언니거 사용했는데 정말 만족스럽습니다우선 화농성 여드름은 모두 진정이 된 상태구요그로 인한 붉은기들 역시 다 사라져서 2통째 재구매합니다저도 피부가 뒤집어지는 날에 사용했는데 정말 빠르게 진정되고 샥 가라앉는게 보여소 만족스러워요,"['지성', '여름쿨톤', '모공', '미백']"
